"Sim_index" "S" "omega_T" "omega_P" "sigma_e" "disp_shape" "disp_scale" "seed" "divergence_factor" "max_species" "max_coex_sp" "start_species" "init_ab" "grid_cell_distance" "finished" "final_timestep" "initial_nb_species" "final_nb_species" "sp_events" "ex_events" "exchanged" "prop_col_area" "div_col" "dist_to_isthmus"
"327" "Simulation_327" 1.303 0.075 0.231 0.063 1.157 0.123 327 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 6167.21767078369
"328" "Simulation_328" 1.428 0.036 0.122 0.036 1.627 0.18 328 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4518.22534033532
"329" "Simulation_329" 2.434 0.081 0.247 0.108 2.882 0.632 329 0.05 12000 1000 1 500 111 1 0 1 22 22 0 1 0.118948380891311 18 2859.08142459816
"330" "Simulation_330" 2.937 0.013 0.058 0.072 2.255 0.406 330 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 265.395660951012
"331" "Simulation_331" 1.931 0.058 0.183 0.145 1 0.859 331 0.05 12000 1000 1 500 111 1 0 1 23 23 0 1 0.0907342096825906 17 2813.07179757856
"332" "Simulation_332" 1.68 0.024 0.089 0.018 1.941 0.972 332 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5797.98236138618
"333" "Simulation_333" 2.686 0.07 0.217 0.09 0.686 0.519 333 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 7996.05425460691
"334" "Simulation_334" 2.183 0.047 0.153 0.054 1.314 0.745 334 0.05 12000 1000 1 500 111 1 0 1 48 51 3 1 0.104841295286951 5 5782.2314673024
"335" "Simulation_335" 1.177 0.092 0.278 0.127 2.569 0.293 335 0.05 12000 1000 1 500 111 1 0 1 92 118 26 1 0.111894838089131 46 4076.97173328551
"336" "Simulation_336" 1.24 0.044 0.144 0.14 2.176 0.547 336 0.05 12000 1000 1 500 111 0 92 1 1847 1864 17 0 -1 -1 6439.58195609131
"337" "Simulation_337" 2.246 0.089 0.269 0.068 0.922 1 337 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5454.27789129353
"338" "Simulation_338" 2.749 0.021 0.081 0.104 1.549 0.321 338 0.05 12000 1000 1 500 111 1 0 1 6 6 0 0 -1 -1 3148.67885877539
"339" "Simulation_339" 1.743 0.067 0.208 0.031 2.804 0.774 339 0.05 12000 1000 1 500 111 1 0 1 222 223 1 0 -1 -1 5672.07979384892
"340" "Simulation_340" 1.994 0.01 0.05 0.122 1.235 0.661 340 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 1593.8517988332
"341" "Simulation_341" 3 0.055 0.175 0.049 2.49 0.208 341 0.05 12000 1000 1 500 111 1 0 1 3 3 0 0 -1 -1 6333.35801787511
"342" "Simulation_342" 2.497 0.033 0.114 0.086 1.863 0.887 342 0.05 12000 1000 1 500 111 1 0 1 23 23 0 1 0.0500160307790959 23 1426.43684324037
"343" "Simulation_343" 1.491 0.078 0.239 0.013 0.608 0.434 343 0.05 12000 1000 1 500 111 1 0 1 135 138 3 1 0.18275088169285 62 5893.62047999654
"344" "Simulation_344" 1.365 0.027 0.097 0.058 1.078 0.378 344 0.05 12000 1000 1 500 111 1 0 1 12 12 0 0 -1 -1 5762.84642890909
"345" "Simulation_345" 2.371 0.072 0.222 0.131 2.333 0.83 345 0.05 12000 1000 1 500 111 1 0 1 134 134 0 1 0.126643154857326 46 4853.5620456941
"346" "Simulation_346" 2.874 0.05 0.161 0.022 2.961 0.151 346 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 5875.66791265306
"347" "Simulation_347" 1.868 0.095 0.286 0.095 1.706 0.604 347 0.05 12000 1000 1 500 111 1 0 1 15 15 0 0 -1 -1 3754.40164705616
"348" "Simulation_348" 1.617 0.038 0.128 0.077 2.647 0.717 348 0.05 12000 1000 1 500 111 1 0 1 27 27 0 0 -1 -1 7767.40684754458
"349" "Simulation_349" 2.623 0.084 0.256 0.149 1.392 0.264 349 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.119268996473229 4 4266.27359945795
"350" "Simulation_350" 2.12 0.016 0.067 0.04 0.765 0.943 350 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3232.09043241676
"351" "Simulation_351" 1.114 0.061 0.192 0.113 2.02 0.491 351 0.05 12000 1000 1 500 111 1 0 1 453 453 0 1 0.0464892593780058 5 4076.97173328551
"352" "Simulation_352" 1.083 0.043 0.142 0.015 1.353 0.561 352 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2969.56103706809
"353" "Simulation_353" 2.088 0.088 0.267 0.088 2.608 0.109 353 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4747.68563688686
"354" "Simulation_354" 2.591 0.02 0.078 0.052 1.98 0.788 354 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4266.27359945795
"355" "Simulation_355" 1.585 0.065 0.203 0.124 0.725 0.335 355 0.05 12000 1000 1 500 111 1 0 1 809 812 3 1 0.103879448541199 225 3144.00191497218
"356" "Simulation_356" 1.837 0.031 0.108 0.033 2.294 0.448 356 0.05 12000 1000 1 500 111 1 0 1 127 127 0 0 -1 -1 6014.14771015095
"357" "Simulation_357" 2.843 0.077 0.236 0.106 1.039 0.901 357 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5530.13173768303
"358" "Simulation_358" 2.34 0.054 0.172 0.07 1.667 0.222 358 0.05 12000 1000 1 500 111 1 0 1 12 12 0 0 -1 -1 2844.5859447858
"359" "Simulation_359" 1.334 0.099 0.297 0.143 2.922 0.675 359 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.159666559794806 8 1850.55230717382
"360" "Simulation_360" 1.46 0.014 0.061 0.097 2.451 0.731 360 0.05 12000 1000 1 500 111 1 0 1 65 85 20 0 -1 -1 6515.91660568792
"361" "Simulation_361" 2.466 0.06 0.189 0.024 1.196 0.279 361 0.05 12000 1000 1 500 111 1 0 1 73 82 9 0 -1 -1 5435.05745375867
"362" "Simulation_362" 2.969 0.037 0.125 0.134 0.569 0.958 362 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5300.87561054891
"363" "Simulation_363" 1.963 0.082 0.25 0.061 1.824 0.505 363 0.05 12000 1000 1 500 111 1 0 1 12 14 2 1 0.177300416800256 4 2132.79583386462
"364" "Simulation_364" 1.711 0.048 0.156 0.079 0.882 0.392 364 0.05 12000 1000 1 500 111 1 0 1 417 421 4 1 0.0849631292080795 163 3052.26973287857
"365" "Simulation_365" 2.717 0.094 0.283 0.006 2.137 0.844 365 0.05 12000 1000 1 500 111 1 0 1 5 6 1 0 -1 -1 3486.44004431769
"366" "Simulation_366" 2.214 0.026 0.094 0.115 2.765 0.165 366 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 7338.63714386674
"367" "Simulation_367" 1.208 0.071 0.219 0.043 1.51 0.618 367 0.05 12000 1000 1 500 111 1 0 1 160 162 2 0 -1 -1 6880.6998053388
"368" "Simulation_368" 1.145 0.023 0.086 0.074 0.804 0.873 368 0.05 12000 1000 1 500 111 0 105 1 1497 1561 64 0 -1 -1 6156.71652086397
"369" "Simulation_369" 2.151 0.068 0.211 0.147 2.059 0.42 369 0.05 12000 1000 1 500 111 1 0 1 3 3 0 0 -1 -1 2804.67319897692
"370" "Simulation_370" 2.654 0.046 0.15 0.038 2.686 0.646 370 0.05 12000 1000 1 500 111 1 0 1 114 114 0 1 0.102276370631613 10 5182.00129588307
"371" "Simulation_371" 1.648 0.091 0.275 0.111 1.431 0.194 371 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.0609169605642834 5 4960.21040757412
"372" "Simulation_372" 1.9 0.034 0.117 0.056 3 0.307 372 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4360.09025820652
"373" "Simulation_373" 2.906 0.079 0.242 0.129 1.745 0.76 373 0.05 12000 1000 1 500 111 1 0 1 16 16 0 1 0.0955434434113498 8 5405.81679193886
"374" "Simulation_374" 2.403 0.012 0.056 0.02 1.118 0.533 374 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4186.6418226188
"375" "Simulation_375" 1.397 0.057 0.181 0.093 2.373 0.986 375 0.05 12000 1000 1 500 111 1 0 1 139 142 3 1 0.0586726514908625 109 4908.44070487293
"376" "Simulation_376" 1.271 0.051 0.164 0.12 1.902 0.929 376 0.05 12000 1000 1 500 111 1 0 1 1670 1671 1 0 -1 -1 6694.84491379964
"377" "Simulation_377" 2.277 0.096 0.289 0.047 0.647 0.477 377 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 7571.45763287579
"378" "Simulation_378" 2.78 0.029 0.103 0.083 1.275 0.703 378 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5080.13898571643
"379" "Simulation_379" 1.774 0.074 0.228 0.011 2.529 0.25 379 0.05 12000 1000 1 500 111 1 0 1 69 73 4 1 0.159666559794806 6 2243.9909350421
"380" "Simulation_380" 1.523 0.017 0.069 0.138 1.588 0.137 380 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4642.28137605012
"381" "Simulation_381" 2.528 0.063 0.197 0.065 2.843 0.59 381 0.05 12000 1000 1 500 111 1 0 1 112 114 2 0 -1 -1 5626.98738070658
"382" "Simulation_382" 2.026 0.04 0.133 0.102 2.216 0.363 382 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4924.29413545764
"383" "Simulation_383" 1.02 0.085 0.258 0.029 0.961 0.816 383 0.05 12000 1000 1 500 111 1 0 1 16 23 7 1 0.121833921128567 12 2866.95218541919
"384" "Simulation_384" 1.012 0.025 0.092 0.11 2.088 0.615 384 0.05 12000 1000 1 500 111 1 0 1 127 130 3 0 -1 -1 6339.87158305778
"385" "Simulation_385" 2.018 0.07 0.217 0.037 0.833 0.162 385 0.05 12000 1000 1 500 111 1 0 1 578 578 0 1 0.117345302981725 294 3290.82836190618
"386" "Simulation_386" 2.521 0.047 0.153 0.147 1.461 0.841 386 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4579.43043687308
"387" "Simulation_387" 1.515 0.093 0.281 0.074 2.716 0.388 387 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.144597627444694 -1 3482.72954354026
"388" "Simulation_388" 1.766 0.036 0.122 0.092 1.147 0.501 388 0.05 12000 1000 1 500 111 1 0 1 1500 1501 1 1 0.0676498877845463 945 1688.01542915468
"389" "Simulation_389" 2.772 0.081 0.247 0.019 2.402 0.954 389 0.05 12000 1000 1 500 111 1 0 1 6 6 0 1 0.0993908303943572 5 3967.30164395223
"390" "Simulation_390" 2.269 0.013 0.058 0.128 1.775 0.275 390 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 5935.5773506813
"391" "Simulation_391" 1.263 0.059 0.186 0.056 0.52 0.728 391 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3272.11096013845
"392" "Simulation_392" 1.389 0.053 0.169 0.01 0.99 0.671 392 0.05 12000 1000 1 500 111 1 0 1 1057 1068 11 0 -1 -1 6080.13182712298
"393" "Simulation_393" 2.395 0.098 0.294 0.083 2.245 0.218 393 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6587.41669921022
"394" "Simulation_394" 2.898 0.03 0.106 0.047 2.873 0.897 394 0.05 12000 1000 1 500 111 1 0 1 5 5 0 0 -1 -1 6934.86901437697
"395" "Simulation_395" 1.892 0.076 0.233 0.119 1.618 0.445 395 0.05 12000 1000 1 500 111 1 0 1 70 71 1 0 -1 -1 4535.82223536702
"396" "Simulation_396" 1.64 0.019 0.075 0.028 2.559 0.332 396 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 6199.04816619277
"397" "Simulation_397" 2.646 0.064 0.2 0.101 1.304 0.784 397 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.105482526450786 -1 3006.51115007912
"398" "Simulation_398" 2.143 0.042 0.139 0.065 0.676 0.105 398 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4711.51169004348
"399" "Simulation_399" 1.138 0.087 0.264 0.137 1.931 0.558 399 0.05 12000 1000 1 500 111 1 0 1 68 68 0 1 0.152933632574543 33 4972.81517700325
"400" "Simulation_400" 1.2 0.039 0.131 0.124 2.794 0.813 400 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 5580.76718843202
"401" "Simulation_401" 2.206 0.084 0.256 0.051 1.539 0.36 401 0.05 12000 1000 1 500 111 1 0 1 580 581 1 0 -1 -1 6127.33198963931
"402" "Simulation_402" 2.709 0.016 0.067 0.087 0.912 0.586 402 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 6880.6998053388
"403" "Simulation_403" 1.703 0.061 0.192 0.015 2.167 0.134 403 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.102276370631613 -1 2250.66864252957
"404" "Simulation_404" 1.955 0.028 0.1 0.142 0.598 0.247 404 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3872.19644801864
"405" "Simulation_405" 2.961 0.073 0.225 0.069 1.853 0.699 405 0.05 12000 1000 1 500 111 1 0 1 65 65 0 1 0.0840012824623277 35 3294.47692710639
"406" "Simulation_406" 2.458 0.05 0.161 0.106 2.48 0.473 406 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.0583520359089452 8 2453.57212025843
"407" "Simulation_407" 1.452 0.095 0.286 0.033 1.225 0.926 407 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6374.34858790354
"408" "Simulation_408" 1.326 0.011 0.053 0.06 1.696 0.982 408 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2767.06217055897
"409" "Simulation_409" 2.332 0.056 0.178 0.133 2.951 0.53 409 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 4406.70768319306
"410" "Simulation_410" 2.835 0.033 0.114 0.024 2.324 0.756 410 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 2804.67319897692
"411" "Simulation_411" 1.829 0.078 0.239 0.097 1.069 0.303 411 0.05 12000 1000 1 500 111 1 0 1 36 36 0 1 0.13562039115101 14 2915.12521608223
"412" "Simulation_412" 1.578 0.044 0.144 0.042 2.01 0.19 412 0.05 12000 1000 1 500 111 1 0 1 9 9 0 0 -1 -1 2511.67527570911
"413" "Simulation_413" 2.583 0.09 0.272 0.115 0.755 0.643 413 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3605.27373650634
"414" "Simulation_414" 2.081 0.022 0.083 0.006 1.382 0.417 414 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4450.06711355759
"415" "Simulation_415" 1.075 0.067 0.208 0.078 2.637 0.869 415 0.05 12000 1000 1 500 111 0 45 1 1291 1358 67 0 -1 -1 7019.49177231006
"416" "Simulation_416" 1.106 0.049 0.158 0.031 0.716 0.289 416 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4516.46230633397
"417" "Simulation_417" 2.112 0.094 0.283 0.103 1.971 0.742 417 0.05 12000 1000 1 500 111 1 0 1 288 289 1 1 0.135299775569093 67 4563.6617277319
"418" "Simulation_418" 2.615 0.026 0.094 0.067 2.598 0.516 418 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4458.19767252715
"419" "Simulation_419" 1.609 0.071 0.219 0.14 1.343 0.968 419 0.05 12000 1000 1 500 111 1 0 1 13 13 0 1 0.119268996473229 10 3968.02732585993
"420" "Simulation_420" 1.861 0.015 0.064 0.012 2.912 0.855 420 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5174.97165213021
"421" "Simulation_421" 2.866 0.06 0.189 0.085 1.657 0.402 421 0.05 12000 1000 1 500 111 1 0 1 62 63 1 1 0.0945815966655979 28 4012.04119640065
"422" "Simulation_422" 2.363 0.037 0.125 0.049 1.029 0.629 422 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.0621994228919526 3 4718.63297875069
"423" "Simulation_423" 1.358 0.083 0.253 0.122 2.284 0.176 423 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.174094260981084 3 5434.39698170923
"424" "Simulation_424" 1.483 0.032 0.111 0.094 1.814 0.119 424 0.05 12000 1000 1 500 111 1 0 1 12 12 0 0 -1 -1 5812.25617286227
"425" "Simulation_425" 2.489 0.077 0.236 0.021 0.559 0.572 425 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4841.18490783257
"426" "Simulation_426" 2.992 0.054 0.172 0.131 1.186 0.346 426 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5256.32554856437
"427" "Simulation_427" 1.986 0.1 0.3 0.058 2.441 0.798 427 0.05 12000 1000 1 500 111 1 0 1 72 72 0 1 0.164796409105483 25 5161.48527197625
"428" "Simulation_428" 1.735 0.043 0.142 0.112 1.5 0.912 428 0.05 12000 1000 1 500 111 1 0 1 10 11 1 1 0.0759858929143956 4 5355.9891813182
"429" "Simulation_429" 2.741 0.088 0.267 0.04 2.755 0.459 429 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.165437640269317 2 5889.06892266862
"430" "Simulation_430" 2.238 0.02 0.078 0.149 2.127 0.685 430 0.05 12000 1000 1 500 111 1 0 1 1 3 2 0 -1 -1 6080.13182712298
"431" "Simulation_431" 1.232 0.066 0.206 0.076 0.873 0.233 431 0.05 12000 1000 1 500 111 0 3 1 1546 1550 4 1 0.168964411670407 567 2303.79755790664
"432" "Simulation_432" 1.169 0.018 0.072 0.044 1.422 0.487 432 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3232.09043241676
"433" "Simulation_433" 2.175 0.063 0.197 0.117 2.676 0.94 433 0.05 12000 1000 1 500 111 1 0 1 71 71 0 1 0.102276370631613 29 4028.51210284487
"434" "Simulation_434" 2.678 0.04 0.133 0.008 2.049 0.261 434 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4219.1212364163
"435" "Simulation_435" 1.672 0.086 0.261 0.081 0.794 0.714 435 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4913.30709882045
"436" "Simulation_436" 1.923 0.052 0.167 0.062 2.363 0.6 436 0.05 12000 1000 1 500 111 1 0 1 145 145 0 0 -1 -1 1064.94716144302
"437" "Simulation_437" 2.929 0.097 0.292 0.135 1.108 0.148 437 0.05 12000 1000 1 500 111 1 0 1 12 13 1 1 0.179544725873677 2 4256.34523127753
"438" "Simulation_438" 2.426 0.029 0.103 0.026 1.735 0.827 438 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5188.13359146233
"439" "Simulation_439" 1.42 0.074 0.228 0.099 2.99 0.374 439 0.05 12000 1000 1 500 111 1 0 1 40 40 0 1 0.118627765309394 20 2361.67253275457
"440" "Simulation_440" 1.295 0.035 0.119 0.144 2.52 0.431 440 0.05 12000 1000 1 500 111 1 0 1 5 5 0 0 -1 -1 6357.00190403854
"441" "Simulation_441" 2.301 0.08 0.244 0.072 1.265 0.883 441 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.137544084642514 5 1802.98175010402
"442" "Simulation_442" 2.804 0.012 0.056 0.108 0.637 0.204 442 0.05 12000 1000 1 500 111 1 0 1 2 3 1 0 -1 -1 5878.88664267475
"443" "Simulation_443" 1.798 0.057 0.181 0.035 1.892 0.657 443 0.05 12000 1000 1 500 111 1 0 1 266 267 1 1 0.125360692529657 82 5313.12026358293
"444" "Simulation_444" 1.546 0.023 0.086 0.126 0.951 0.77 444 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5174.97165213021
"445" "Simulation_445" 2.552 0.069 0.214 0.053 2.206 0.317 445 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.102917601795447 -1 4219.1212364163
"446" "Simulation_446" 2.049 0.046 0.15 0.09 2.833 0.996 446 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4971.29164404997
"447" "Simulation_447" 1.043 0.091 0.275 0.017 1.578 0.544 447 0.05 12000 1000 1 500 111 1 0 1 22 22 0 1 0.190766271240782 20 5558.04396449755
"448" "Simulation_448" 1.028 0.037 0.125 0.073 1.951 0.367 448 0.05 12000 1000 1 500 111 0 112 1 2025 2036 11 1 0.119268996473229 191 5380.86642886273
"449" "Simulation_449" 2.033 0.082 0.25 0.145 0.696 0.82 449 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5774.08287268374
"450" "Simulation_450" 2.536 0.014 0.061 0.036 1.324 0.141 450 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5168.35392382117
"451" "Simulation_451" 1.53 0.059 0.186 0.109 2.578 0.593 451 0.05 12000 1000 1 500 111 1 0 1 1174 1180 6 1 0.12856684834883 210 5347.94403193922
"452" "Simulation_452" 1.782 0.025 0.092 0.054 1.637 0.706 452 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4257.04618931647
"453" "Simulation_453" 2.788 0.071 0.219 0.127 2.892 0.254 453 0.05 12000 1000 1 500 111 1 0 1 6 6 0 0 -1 -1 3155.3800704289
"454" "Simulation_454" 2.285 0.048 0.156 0.018 2.265 0.933 454 0.05 12000 1000 1 500 111 1 0 1 54 54 0 0 -1 -1 5385.34045604151
"455" "Simulation_455" 1.279 0.093 0.281 0.091 1.01 0.48 455 0.05 12000 1000 1 500 111 1 0 1 250 270 20 1 0.223148445014428 100 5684.26398167684
"456" "Simulation_456" 1.405 0.02 0.078 0.118 0.539 0.537 456 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4503.06159515754
"457" "Simulation_457" 2.411 0.065 0.203 0.045 1.794 0.989 457 0.05 12000 1000 1 500 111 1 0 1 15 15 0 1 0.0965052901571016 6 1989.59147075293
"458" "Simulation_458" 2.914 0.042 0.139 0.082 2.422 0.31 458 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 2296.6184362815
"459" "Simulation_459" 1.908 0.088 0.267 0.009 1.167 0.763 459 0.05 12000 1000 1 500 111 1 0 1 3 3 0 0 -1 -1 6405.65477285516
"460" "Simulation_460" 1.656 0.054 0.172 0.136 2.735 0.65 460 0.05 12000 1000 1 500 111 0 13 1 1512 1514 2 1 0.151651170246874 18 4305.83743831768
"461" "Simulation_461" 2.662 0.099 0.297 0.064 1.48 0.197 461 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4453.4568068815
"462" "Simulation_462" 2.159 0.031 0.108 0.1 0.853 0.876 462 0.05 12000 1000 1 500 111 1 0 1 36 36 0 0 -1 -1 4256.34523127753
"463" "Simulation_463" 1.153 0.076 0.233 0.027 2.108 0.424 463 0.05 12000 1000 1 500 111 1 0 1 222 222 0 1 0.134337928823341 88 1890.59646432906
"464" "Simulation_464" 1.216 0.028 0.1 0.023 2.657 0.169 464 0.05 12000 1000 1 500 111 1 0 1 378 378 0 0 -1 -1 1956.03298270709
"465" "Simulation_465" 2.222 0.073 0.225 0.095 1.402 0.622 465 0.05 12000 1000 1 500 111 1 0 1 68 70 2 1 0.0795126643154857 34 5567.06843919847
"466" "Simulation_466" 2.725 0.051 0.164 0.059 0.775 0.395 466 0.05 12000 1000 1 500 111 1 0 1 8 8 0 1 0.0977877524847708 4 3731.37023982521
"467" "Simulation_467" 1.719 0.096 0.289 0.132 2.029 0.848 467 0.05 12000 1000 1 500 111 1 0 1 698 703 5 1 0.148124398845784 309 2120.47714839258
"468" "Simulation_468" 1.971 0.04 0.133 0.041 1.088 0.961 468 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0580314203270279 2 2760.93066128612
"469" "Simulation_469" 2.976 0.085 0.258 0.114 2.343 0.508 469 0.05 12000 1000 1 500 111 1 0 1 27 27 0 1 0.136261622314845 15 3890.11096841646
"470" "Simulation_470" 2.473 0.017 0.069 0.077 2.971 0.735 470 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4150.10599566544
"471" "Simulation_471" 1.468 0.062 0.194 0.15 1.716 0.282 471 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0942609810836807 4 4211.66483578997
"472" "Simulation_472" 1.342 0.045 0.147 0.105 1.245 0.226 472 0.05 12000 1000 1 500 111 1 0 1 3 3 0 0 -1 -1 2384.38575442248
"473" "Simulation_473" 2.348 0.09 0.272 0.032 2.5 0.678 473 0.05 12000 1000 1 500 111 1 0 1 132 132 0 0 -1 -1 4034.86405813122
"474" "Simulation_474" 2.851 0.023 0.086 0.141 1.873 0.452 474 0.05 12000 1000 1 500 111 1 0 1 3 5 2 0 -1 -1 5800.13429979019
"475" "Simulation_475" 1.845 0.068 0.211 0.068 0.618 0.905 475 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4519.44127214496
"476" "Simulation_476" 1.593 0.011 0.053 0.086 2.186 0.791 476 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3152.07637975546
"477" "Simulation_477" 2.599 0.057 0.181 0.014 0.931 0.339 477 0.05 12000 1000 1 500 111 1 0 1 108 108 0 1 0.104841295286951 27 1602.87725184341
"478" "Simulation_478" 2.096 0.034 0.117 0.123 1.559 0.565 478 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 5724.04301212979
"479" "Simulation_479" 1.09 0.079 0.242 0.05 2.814 0.112 479 0.05 12000 1000 1 500 111 1 0 1 16 16 0 1 0.136582237896762 8 1740.88221784053
"480" "Simulation_480" 1.059 0.013 0.058 0.134 0.814 0.919 480 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4943.00789483215
"481" "Simulation_481" 2.065 0.058 0.183 0.061 2.069 0.466 481 0.05 12000 1000 1 500 111 1 0 1 8 9 1 0 -1 -1 1733.88152020149
"482" "Simulation_482" 2.568 0.035 0.119 0.098 2.696 0.692 482 0.05 12000 1000 1 500 111 1 0 1 52 60 8 0 -1 -1 5009.29180647002
"483" "Simulation_483" 1.562 0.081 0.247 0.025 1.441 0.24 483 0.05 12000 1000 1 500 111 1 0 1 56 56 0 1 0.111574222507214 20 3122.42034308348
"484" "Simulation_484" 1.813 0.047 0.153 0.116 2.382 0.127 484 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 6116.93688167947
"485" "Simulation_485" 2.819 0.092 0.278 0.043 1.127 0.579 485 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.143635780698942 6 3279.2427954584
"486" "Simulation_486" 2.316 0.024 0.089 0.079 0.5 0.353 486 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 4388.60230801034
"487" "Simulation_487" 1.31 0.069 0.214 0.007 1.755 0.806 487 0.05 12000 1000 1 500 111 1 0 1 221 257 36 0 -1 -1 7902.64208473742
"488" "Simulation_488" 1.436 0.041 0.136 0.052 2.225 0.862 488 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4328.79132574959
"489" "Simulation_489" 2.442 0.086 0.261 0.125 0.971 0.409 489 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5389.77747785296
"490" "Simulation_490" 2.945 0.018 0.072 0.016 1.598 0.636 490 0.05 12000 1000 1 500 111 1 0 1 13 16 3 1 0.0115421609490221 3 2381.2429600858
